   104   324  183017.3-015713   18.50481   -1.95378  4.30E-2  4.90E-2    0.22   0.11  11.5  4.5    2.7    1.1    1.4    1.3    0.5    0.7   3.8  starless            
   105   325  183017.6-015622   18.50489   -1.93953  1.90E-2  3.00E-2    0.08   0.04  11.5  4.5    4.0    1.0    2.5    2.4    0.7    2.9   4.9  starless            
   106   327  183017.8-020117   18.50494   -2.02150  3.10E-2  3.90E-2    0.10   0.07  12.0  1.8    1.3    0.8    1.2    0.7    0.4    0.8   6.4  starless            
   107   331  183019.6-015153   18.50545   -1.86475  2.30E-2  3.50E-2    0.05   0.04  18.4  5.0    3.7    0.5    1.1    2.1    0.3    1.1   8.8  starless            
   108   335  183023.5-020610   18.50655   -2.10303  2.60E-2  3.50E-2    0.05   0.02  14.1  1.3    0.8    0.5    0.9    0.5    0.3    0.8   9.9  starless            
   109   338  183025.5-015839   18.50709   -1.97767  2.50E-2  3.60E-2    0.05   0.04  15.3  3.6    3.3    0.5    0.9    1.9    0.3    0.8  10.1  starless            
   110   344  183026.8-021427   18.50745   -2.24106  3.10E-2  3.90E-2    0.04   0.02  17.3  2.1    0.9    0.3    0.5    0.5    0.2    0.3  16.1  starless            
   111   350  183029.2-020831   18.50812   -2.14211  3.90E-2  4.80E-2    0.19   0.07  14.4  1.5    4.8    1.0    1.5    2.4    0.5    0.9   4.0  starless            
   112   354  183032.7-021816   18.50910   -2.30467  9.80E-2  1.00E-1    0.65   0.33  14.5  4.5    3.2    0.8    0.8    0.9    0.2    0.2   3.0  starless            
   113   359  183036.2-021708   18.51006   -2.28558  2.60E-2  3.50E-2    0.10   0.03  13.9  0.9    1.7    1.0    1.8    1.0    0.6    1.5   5.1  starless            
   114   360  183036.2-011742   18.51006   -1.29522  5.50E-2  6.10E-2    0.31   0.16  11.5  4.5    2.4    1.0    1.2    1.0    0.4    0.5   3.5  starless            
   115   365  183037.9-021012   18.51054   -2.17014  2.30E-2  3.30E-2    0.03   0.01  14.5  4.5    1.0    0.3    0.7    0.6    0.2    0.7  15.4  starless            
   116   367  183038.8-015550   18.51078   -1.93064  1.90E-2  3.00E-2    0.05   0.04  14.8  4.6    2.7    0.7    1.6    1.7    0.5    1.9   7.5  starless            
   117   369  183040.8-023124   18.51135   -2.52356  4.50E-2  5.00E-2    0.06   0.03  14.5  4.5    1.4    0.3    0.4    0.7    0.1    0.2  14.0  starless            
   118   370  183041.7-041557   18.51160   -4.26600  6.30E-2  6.80E-2    0.37   0.18  12.2  1.5    3.6    1.0    1.1    1.4    0.3    0.4   3.4  starless            
   119   379  183045.2-023018   18.51256   -2.50503  3.00E-2  3.80E-2    0.09   0.04  14.5  4.5    2.0    0.7    1.1    1.1    0.4    0.8   7.0  starless            
   120   380  183045.6-012137   18.51268   -1.36044  3.10E-2  3.90E-2    0.13   0.06  11.5  4.5    1.3    1.0    1.5    0.7    0.6    1.1   4.9  starless            
   121   387  183049.1-011538   18.51365   -1.26061  2.70E-2  3.50E-2    0.12   0.12  11.3  3.1    2.7    1.2    2.0    1.5    0.7    1.7   4.3  starless            
   122   390  183050.7-025025   18.51410   -2.84047  2.20E-2  3.40E-2    0.07   0.04  11.5  4.5    0.9    0.8    1.8    0.5    0.5    1.7   5.9  starless            
   123   393  183051.2-022808   18.51423   -2.46914  3.00E-2  3.90E-2    0.08   0.04  14.5  4.5    2.0    0.7    1.1    1.1    0.4    0.8   7.0  starless            
   124   396  183053.4-015014   18.51484   -1.83728  3.60E-2  4.30E-2    0.16   0.09  13.4  2.2    3.8    1.0    1.4    2.0    0.5    0.9   4.5  starless            
   125   400  183054.7-011502   18.51521   -1.25056  2.00E-2  3.10E-2    0.09   0.10  11.4  3.3    2.6    1.1    2.5    1.5    0.7    2.7   4.6  starless            
   126   408  183058.4-020554   18.51624   -2.09836  3.10E-2  3.90E-2    0.12   0.06  15.1  1.8    2.4    1.0    1.5    1.3    0.5    1.0   5.0  starless            
   127   410  183059.9-021957   18.51665   -2.33272  8.10E-2  8.40E-2    0.33   0.09  17.1  1.9    1.8    0.6    0.6    0.6    0.1    0.2   4.8  starless            
   128   419  183103.6-020641   18.51767   -2.11156  3.70E-2  4.40E-2    0.05   0.04  15.5  3.5    2.2    0.3    0.5    1.1    0.2    0.3  13.7  starless            
   129   423  183105.3-011450   18.51814   -1.24733  1.50E-2  2.80E-2    0.04   0.02  11.5  4.5    0.6    0.6    2.2    0.4    0.5    3.2   7.3  starless            
   130   424  183106.0-020755   18.51834   -2.13197  1.90E-2  3.10E-2    0.05   0.02  22.1  2.8    1.9    0.7    1.7    1.2    0.5    2.0   7.0  starless            
   131   427  183107.9-023109   18.51887   -2.51939  3.00E-2  3.90E-2    0.11   0.06  12.5  2.3    2.7    0.8    1.4    1.5    0.5    1.0   5.6  starless            
   132   429  183109.6-021410   18.51934   -2.23614  2.00E-2  3.10E-2    0.04   0.02  15.2  2.1    1.5    0.4    1.0    0.9    0.3    1.1  11.2  starless            
   133   437  183111.3-021631   18.51981   -2.27533  2.00E-2  3.10E-2    0.05   0.03  14.5  4.5    1.7    0.6    1.5    1.0    0.5    1.6   7.8  starless            
   134   443  183114.1-021605   18.52061   -2.26814  1.10E-2  2.40E-2    0.02   0.01  16.4  2.0    0.7    0.5    1.9    0.5    0.4    3.7  10.5  starless            
   135   446  183116.6-020151   18.52129   -2.03103  2.10E-2  3.20E-2    0.03   0.02  27.7  1.0    0.5    0.3    0.7    0.3    0.2    0.8  15.2  starless            
